datetime,event_type
1630-05-26T05:00:37+00:00,Partial lunar eclipse
1630-11-19T22:20:12+00:00,Partial lunar eclipse
1631-05-15T19:14:57+00:00,Total lunar eclipse
1631-11-08T22:50:53+00:00,Total lunar eclipse
1632-05-04T12:14:20+00:00,Partial lunar eclipse
1632-10-27T22:59:47+00:00,Partial lunar eclipse
1633-03-25T16:04:45+00:00,Penumbral lunar eclipse
1633-04-24T03:16:59+00:00,Penumbral lunar eclipse
1633-09-17T18:34:10+00:00,Penumbral lunar eclipse
1633-10-17T05:28:32+00:00,Penumbral lunar eclipse
1634-03-14T20:52:17+00:00,Partial lunar eclipse
1634-09-07T10:21:06+00:00,Partial lunar eclipse
1635-03-03T20:34:05+00:00,Total lunar eclipse
1635-08-28T02:52:16+00:00,Total lunar eclipse
1636-02-20T22:34:05+00:00,Partial lunar eclipse
1636-08-16T15:29:10+00:00,Partial lunar eclipse
1637-01-10T20:08:04+00:00,Penumbral lunar eclipse
1637-02-09T07:37:58+00:00,Penumbral lunar eclipse
1637-07-07T06:27:24+00:00,Penumbral lunar eclipse
1637-12-31T11:41:40+00:00,Partial lunar eclipse
1638-06-26T07:21:02+00:00,Total lunar eclipse
1638-12-21T01:59:55+00:00,Total lunar eclipse
1639-06-15T13:31:58+00:00,Partial lunar eclipse
1639-12-10T10:39:05+00:00,Partial lunar eclipse
1640-05-05T19:22:50+00:00,Penumbral lunar eclipse
1640-06-04T02:44:21+00:00,Penumbral lunar eclipse
1640-10-29T17:26:26+00:00,Penumbral lunar eclipse
1640-11-28T12:11:27+00:00,Penumbral lunar eclipse
1641-04-25T12:13:52+00:00,Partial lunar eclipse
1641-10-18T18:59:40+00:00,Partial lunar eclipse
1642-04-15T01:51:35+00:00,Total lunar eclipse
1642-10-08T03:41:35+00:00,Total lunar eclipse
1643-04-04T08:32:49+00:00,Partial lunar eclipse
1643-09-27T18:27:30+00:00,Partial lunar eclipse
1644-02-22T15:28:41+00:00,Penumbral lunar eclipse
1644-08-18T02:24:33+00:00,Penumbral lunar eclipse
1644-09-16T10:59:03+00:00,Penumbral lunar eclipse
1645-02-10T19:13:03+00:00,Partial lunar eclipse
1645-08-07T13:18:42+00:00,Total lunar eclipse
1646-01-31T06:06:20+00:00,Total lunar eclipse
1646-07-27T17:05:51+00:00,Total lunar eclipse
1647-01-20T21:22:25+00:00,Partial lunar eclipse
1647-07-16T17:38:29+00:00,Penumbral lunar eclipse
1647-12-11T23:50:30+00:00,Penumbral lunar eclipse
1648-01-10T12:25:31+00:00,Penumbral lunar eclipse
1648-06-05T12:10:55+00:00,Partial lunar eclipse
1648-11-30T06:25:58+00:00,Partial lunar eclipse
1649-05-26T02:47:52+00:00,Total lunar eclipse
1649-11-19T06:38:10+00:00,Total lunar eclipse
1650-05-15T19:53:34+00:00,Partial lunar eclipse
1650-11-08T06:51:40+00:00,Partial lunar eclipse
1651-04-05T23:44:45+00:00,Penumbral lunar eclipse
1651-05-05T10:47:55+00:00,Penumbral lunar eclipse
1651-09-29T02:30:24+00:00,Penumbral lunar eclipse
1651-10-28T13:36:51+00:00,Penumbral lunar eclipse
1652-03-25T04:16:46+00:00,Partial lunar eclipse
1652-09-17T18:18:45+00:00,Partial lunar eclipse
1653-03-14T04:03:46+00:00,Total lunar eclipse
1653-09-07T10:34:42+00:00,Total lunar eclipse
1654-03-03T06:30:45+00:00,Partial lunar eclipse
1654-08-27T22:43:16+00:00,Partial lunar eclipse
1655-01-22T04:54:00+00:00,Penumbral lunar eclipse
1655-02-20T16:03:09+00:00,Penumbral lunar eclipse
1655-07-18T12:52:25+00:00,Penumbral lunar eclipse
1656-01-11T20:32:49+00:00,Partial lunar eclipse
1656-07-06T13:54:55+00:00,Total lunar eclipse
1656-12-31T10:40:18+00:00,Total lunar eclipse
1657-06-25T20:33:06+00:00,Total lunar eclipse
1657-12-20T18:57:16+00:00,Partial lunar eclipse
1658-05-17T03:01:09+00:00,Penumbral lunar eclipse
1658-06-15T10:07:16+00:00,Penumbral lunar eclipse
1658-11-10T01:08:39+00:00,Penumbral lunar eclipse
1658-12-09T20:10:02+00:00,Penumbral lunar eclipse
1659-05-06T19:55:28+00:00,Partial lunar eclipse
1659-10-30T02:52:07+00:00,Partial lunar eclipse
1660-04-25T09:21:17+00:00,Total lunar eclipse
1660-10-18T11:49:24+00:00,Total lunar eclipse
1661-04-14T15:45:34+00:00,Partial lunar eclipse
1661-10-08T02:38:19+00:00,Partial lunar eclipse
1662-03-04T23:09:23+00:00,Penumbral lunar eclipse
1662-08-29T09:56:17+00:00,Penumbral lunar eclipse
1662-09-27T18:58:37+00:00,Penumbral lunar eclipse
1663-02-22T03:22:50+00:00,Partial lunar eclipse
1663-08-18T20:19:24+00:00,Partial lunar eclipse
1664-02-11T14:42:31+00:00,Total lunar eclipse
1664-08-06T23:39:20+00:00,Total lunar eclipse
1665-01-31T06:09:37+00:00,Partial lunar eclipse
1665-07-27T00:10:51+00:00,Penumbral lunar eclipse
1665-12-22T08:24:57+00:00,Penumbral lunar eclipse
1666-01-20T21:08:29+00:00,Penumbral lunar eclipse
1666-06-16T19:19:57+00:00,Partial lunar eclipse
1666-12-11T14:34:51+00:00,Partial lunar eclipse
1667-06-06T10:17:45+00:00,Total lunar eclipse
1667-11-30T14:30:42+00:00,Total lunar eclipse
