datetime,event_type,duration_minutes,duration_seconds
1630-06-10T17:41:07+00:00,Hybrid or annular/total solar eclipse,55,00
1630-12-04T00:38:59+00:00,Hybrid or annular/total solar eclipse,07,00
1631-05-01T09:39:23+00:00,Partial solar eclipse,,
1631-05-31T00:25:38+00:00,Partial solar eclipse,,
1631-10-25T05:04:15+00:00,Partial solar eclipse,,
1631-11-23T14:53:44+00:00,Partial solar eclipse,,
1632-04-19T09:54:30+00:00,Annular solar eclipse,03,06
1632-10-13T20:09:39+00:00,Total solar eclipse,55,01
1633-04-08T14:37:06+00:00,Annular solar eclipse,51,00
1633-10-03T06:00:37+00:00,Annular solar eclipse,48,02
1634-03-29T02:25:11+00:00,Total solar eclipse,24,02
1634-09-22T08:47:04+00:00,Annular solar eclipse,03,06
1635-02-17T08:57:24+00:00,Partial solar eclipse,,
1635-03-18T18:24:53+00:00,Partial solar eclipse,,
1635-08-12T18:20:10+00:00,Partial solar eclipse,,
1636-02-06T22:14:33+00:00,Annular solar eclipse,29,00
1636-08-01T02:58:15+00:00,Total solar eclipse,15,02
1637-01-26T04:48:32+00:00,Annular solar eclipse,12,07
1637-07-21T17:57:08+00:00,Total solar eclipse,37,06
1638-01-15T04:51:53+00:00,Annular solar eclipse,00,10
1638-06-12T03:55:44+00:00,Partial solar eclipse,,
1638-07-11T11:11:52+00:00,Partial solar eclipse,,
1638-12-05T12:36:35+00:00,Partial solar eclipse,,
1639-01-04T04:56:19+00:00,Partial solar eclipse,,
1639-06-01T15:55:16+00:00,Annular solar eclipse,31,00
1639-11-24T22:58:55+00:00,Total solar eclipse,27,01
1640-05-20T20:37:52+00:00,Annular solar eclipse,00,06
1640-11-13T14:11:19+00:00,Total solar eclipse,50,04
1641-05-09T21:01:19+00:00,Annular solar eclipse,56,06
1641-11-03T05:40:09+00:00,Total solar eclipse,15,02
1642-03-30T12:29:29+00:00,Partial solar eclipse,,
1642-04-29T00:29:43+00:00,Partial solar eclipse,,
1642-09-24T02:37:37+00:00,Partial solar eclipse,,
1642-10-23T16:48:36+00:00,Partial solar eclipse,,
1643-03-20T01:47:19+00:00,Total solar eclipse,02,04
1643-09-13T04:01:21+00:00,Annular solar eclipse,35,07
1644-03-08T18:02:43+00:00,Total solar eclipse,57,04
1644-09-01T04:45:28+00:00,Annular solar eclipse,00,05
1645-02-26T08:35:06+00:00,Hybrid or annular/total solar eclipse,17,00
1645-08-21T11:34:18+00:00,Hybrid or annular/total solar eclipse,16,00
1646-01-16T23:59:17+00:00,Partial solar eclipse,,
1646-07-12T18:18:19+00:00,Total solar eclipse,44,04
1647-01-05T23:10:59+00:00,Annular solar eclipse,50,11
1647-07-02T11:21:21+00:00,Total solar eclipse,15,06
1647-12-26T00:38:35+00:00,Annular solar eclipse,25,05
1648-06-21T00:43:22+00:00,Hybrid or annular/total solar eclipse,49,00
1648-12-14T09:17:55+00:00,Hybrid or annular/total solar eclipse,14,00
1649-05-11T16:22:04+00:00,Partial solar eclipse,,
1649-06-10T07:02:37+00:00,Partial solar eclipse,,
1649-11-04T13:35:08+00:00,Partial solar eclipse,,
1649-12-03T23:40:37+00:00,Partial solar eclipse,,
1650-04-30T16:48:49+00:00,Annular solar eclipse,43,05
1650-10-25T04:21:25+00:00,Total solar eclipse,26,01
1651-04-19T22:04:37+00:00,Annular solar eclipse,14,00
1651-10-14T13:40:56+00:00,Annular solar eclipse,27,03
1652-04-08T10:22:28+00:00,Total solar eclipse,49,02
1652-10-02T15:58:30+00:00,Annular solar eclipse,19,06
1653-02-27T17:28:50+00:00,Partial solar eclipse,,
1653-03-29T02:38:06+00:00,Partial solar eclipse,,
1653-08-23T01:17:26+00:00,Partial solar eclipse,,
1653-09-21T15:55:44+00:00,Partial solar eclipse,,
1654-02-17T06:36:38+00:00,Annular solar eclipse,34,00
1654-08-12T10:17:43+00:00,Total solar eclipse,16,02
1655-02-06T12:51:54+00:00,Annular solar eclipse,03,07
1655-08-02T01:28:36+00:00,Total solar eclipse,28,06
1656-01-26T12:48:10+00:00,Annular solar eclipse,38,09
1656-07-21T18:39:48+00:00,Total solar eclipse,,
1656-12-15T20:59:52+00:00,Partial solar eclipse,,
1657-01-14T13:08:11+00:00,Partial solar eclipse,,
1657-06-11T22:52:09+00:00,Annular solar eclipse,45,00
1657-12-05T07:39:36+00:00,Total solar eclipse,29,01
1658-06-01T03:11:38+00:00,Annular solar eclipse,49,05
1658-11-24T22:54:42+00:00,Total solar eclipse,40,04
1659-05-21T03:38:53+00:00,Annular solar eclipse,51,06
1659-11-14T14:10:08+00:00,Total solar eclipse,56,01
1660-04-09T20:10:11+00:00,Partial solar eclipse,,
1660-05-09T07:36:45+00:00,Partial solar eclipse,,
1660-10-04T10:03:43+00:00,Partial solar eclipse,,
1660-11-03T00:50:39+00:00,Partial solar eclipse,,
1661-03-30T09:55:24+00:00,Total solar eclipse,12,04
1661-09-23T11:02:34+00:00,Annular solar eclipse,29,07
1662-03-20T02:21:49+00:00,Total solar eclipse,12,05
1662-09-12T11:50:45+00:00,Annular solar eclipse,05,05
1663-03-09T16:48:41+00:00,Hybrid or annular/total solar eclipse,21,00
1663-09-01T18:59:08+00:00,Hybrid or annular/total solar eclipse,29,00
1664-01-28T08:02:31+00:00,Partial solar eclipse,,
